tree,orchard,crown_area_m2,ht_m,pre_helene_vol,post_helene_vol,damage,rel_ht,rel_dens_1.8ha,HELENE_MSW,predicted_dbh
13582,W,64,10.022,503.624,543.555,0,0.998074625,9,33.08100128,23.31
13583,W,27,9.628,236.886,238.694,0,1.012248331,8,33.08100128,16.19
13584,W,43,9.156,324.662,347.305,0,0.891384066,12,33.08100128,18.84
13585,W,66,10.374,540.382,514.245,4.84,1.067378076,7,33.08100128,24.14
13586,W,58,11.543,565.758,577.98,0,1.055522304,11,33.08100128,24.56
13587,W,71,10.074,592.783,639.911,0,0.959785894,11,33.08100128,24.37
13588,W,50,10.873,433.243,6.136,98.58,1.012185699,10,33.08100128,22.26
13589,W,39,9.105,269.791,259.288,3.89,0.875130156,6,33.08100128,18.08
13590,W,67,10.512,545.689,543.654,0.37,0.989085435,5,33.08100128,24.49
13591,W,69,9.772,565.237,557.687,1.34,0.973756443,11,33.08100128,23.61
13592,W,51,11.546,518.96,533.065,0,1.047663491,7,33.08100128,23.3
13593,W,74,9.935,583.939,662.903,0,1.002613759,10,33.08100128,24.54
13594,W,44,9.302,329.917,292.742,11.27,0.991829826,8,33.08100128,19.19
13595,W,60,11.029,532.41,87.294,83.6,1.037153873,11,33.08100128,24.18
13596,W,64,10.97,541.644,542.801,0,1.056455582,9,33.08100128,24.73
13597,W,44,8.234,302.636,386.938,0,0.909914689,5,33.08100128,17.8
13598,W,27,9.343,235.998,264.96,0,1.009399309,7,33.08100128,15.92
13599,W,45,9.534,332.953,439.293,0,1.146188988,3,33.08100128,19.66
13600,W,62,8.895,438.221,519.568,0,1.031136975,5,33.08100128,21.29
13601,W,53,9.383,412.106,410.328,0.43,0.953761534,9,33.08100128,20.74
13602,W,31,9.289,222.082,257.701,0,1.00358694,10,33.08100128,16.74
13603,W,53,11.137,476.091,NA,NA,1.093661688,9,33.08100128,23.14
13604,W,44,8.674,297.191,413.557,0,0.969725427,5,33.08100128,18.38
13605,W,43,10.571,394.623,286.528,27.39,1.002608242,10,33.08100128,20.58
13606,W,72,10.564,612.228,556.834,9.05,1.027076953,8,33.08100128,25.29
13607,W,77,8.637,514.343,585.813,0,1.000115794,7,33.08100128,22.68
13608,W,72,10.032,516.52,569.889,0,1.101673909,7,33.08100128,24.43
13609,W,68,8.647,469.381,540.524,0,0.907000223,8,33.08100128,21.65
13610,W,44,11.157,433.927,406.437,6.34,1.104835781,9,33.08100128,21.48
13611,W,60,9.859,461.08,537.803,0,0.999607113,8,33.08100128,22.48
13612,W,74,11.088,641.754,672.554,0,1.055376825,10,33.08100128,26.41
13613,W,43,9.602,353.913,365.279,0,0.973169698,11,33.08100128,19.4
13614,W,50,9.045,391.206,395.633,0,0.953369732,10,33.08100128,19.81
13615,W,48,10.21,435.206,394.255,9.41,1.01127908,8,33.08100128,21.05
13616,W,69,9.746,545.315,549.663,0,0.902855795,11,33.08100128,23.57
13617,W,28,7.107,164.623,289.364,0,0.769322364,6,33.08100128,13.8
13618,W,33,9.633,238.635,314.784,0,1.110611511,5,33.08100128,17.52
13619,W,55,10.196,382.272,422.735,0,1.089150008,7,33.08100128,22.2
13620,W,40,7.191,210.234,218.383,0,0.900611894,7,33.08100128,15.81
13621,W,45,9.42,351.415,381.33,0,0.944588172,5,33.08100128,19.51
13622,W,52,10.81,461.445,439.811,4.69,1.089083419,9,33.08100128,22.53
13623,W,68,9.352,478.295,560.194,0,0.944018708,12,33.08100128,22.8
13624,W,35,7.711,223.11,252.914,0,0.807362092,7,33.08100128,15.7
13625,W,46,9.675,352.296,399.289,0,1.026089723,9,33.08100128,20.01
13626,W,63,10.659,565.856,584.124,0,1.034051222,12,33.08100128,24.12
13627,W,52,9.673,354.564,361.344,0,1.006712806,8,33.08100128,20.99
